date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:06:19	3958700/3958700	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:10%20GMT	https://www.abports.co.uk/media/4uvhygyz/rail-freight-3-abp_hamshall_byhakuba-130.jpg	D:/PSPLL/www.abports.co.uk/media/4uvhygyz/rail-freight-3-abp_hamshall_byhakuba-130.jpg	(from https://www.abports.co.uk/services/rail-freight/)
12:06:19	81724/81724	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:18%20GMT	https://www.abports.co.uk/media/hibfneud/3_2_6.jpg	D:/PSPLL/www.abports.co.uk/media/hibfneud/3_2_6.jpg	(from https://www.abports.co.uk/services/steel-and-other-metals/)
12:06:19	76360/76360	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:18%20GMT	https://www.abports.co.uk/media/sa5bnvo1/3_2_7.jpg	D:/PSPLL/www.abports.co.uk/media/sa5bnvo1/3_2_7.jpg	(from https://www.abports.co.uk/services/steel-and-other-metals/)
12:06:20	3289694/3289694	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:17%20GMT	https://www.abports.co.uk/media/asoalepn/steel-brochure.pdf	D:/PSPLL/www.abports.co.uk/media/asoalepn/steel-brochure.pdf	(from https://www.abports.co.uk/services/steel-and-other-metals/)
12:06:20	62371/62371	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:19%20GMT	https://www.abports.co.uk/media/nmdfpksv/3_2_8.jpg	D:/PSPLL/www.abports.co.uk/media/nmdfpksv/3_2_8.jpg	(from https://www.abports.co.uk/services/steel-and-other-metals/)
12:06:21	114228/114228	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:20%20GMT	https://www.abports.co.uk/media/nncfqpqz/3_2_16.jpg	D:/PSPLL/www.abports.co.uk/media/nncfqpqz/3_2_16.jpg	(from https://www.abports.co.uk/services/steel-and-other-metals/)
12:06:22	102023/102023	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:21%20GMT	https://www.abports.co.uk/media/xtadrhjs/3_13_2.jpg	D:/PSPLL/www.abports.co.uk/media/xtadrhjs/3_13_2.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:22	141044/141044	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:21%20GMT	https://www.abports.co.uk/media/gdfln13v/3_13_3.jpg	D:/PSPLL/www.abports.co.uk/media/gdfln13v/3_13_3.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:22	202158/202158	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:20%20GMT	https://www.abports.co.uk/media/mweegkdd/3_13_5.jpg	D:/PSPLL/www.abports.co.uk/media/mweegkdd/3_13_5.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:23	125807/125807	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:22%20GMT	https://www.abports.co.uk/media/1klfhedw/3_13_4.jpg	D:/PSPLL/www.abports.co.uk/media/1klfhedw/3_13_4.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:23	140843/140843	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:22%20GMT	https://www.abports.co.uk/media/0o4hrurn/3_13_5.jpg	D:/PSPLL/www.abports.co.uk/media/0o4hrurn/3_13_5.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:24	130127/130127	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:22%20GMT	https://www.abports.co.uk/media/ohrfzeou/3_13_6.jpg	D:/PSPLL/www.abports.co.uk/media/ohrfzeou/3_13_6.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:24	99541/99541	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:23%20GMT	https://www.abports.co.uk/media/mfxmf2li/3_13_7.jpg	D:/PSPLL/www.abports.co.uk/media/mfxmf2li/3_13_7.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:24	91729/91729	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:23%20GMT	https://www.abports.co.uk/media/ligghj1m/3_13_10.jpg	D:/PSPLL/www.abports.co.uk/media/ligghj1m/3_13_10.jpg	(from https://www.abports.co.uk/services/marinas/)
12:06:26	70128/70128	---MCZ	200	added ('OK')	text/html	date:Mon,%2031%20Oct%202022%2006:06:24%20GMT	https://www.abports.co.uk/news-and-media/articles-and-blogs/2018/project-plastic-working-together-to-clean-up-our-seas/	D:/PSPLL/www.abports.co.uk/news-and-media/articles-and-blogs/2018/project-plastic-working-together-to-clean-up-our-seas/index.html	(from https://www.abports.co.uk/services/marinas/)
12:06:26	134228/134228	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:24%20GMT	https://www.abports.co.uk/media/my0j3tkk/4_20_9.jpg	D:/PSPLL/www.abports.co.uk/media/my0j3tkk/4_20_9.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:27	394204/394204	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:25%20GMT	https://www.abports.co.uk/media/5dea3w5v/ayr-port-plan.pdf	D:/PSPLL/www.abports.co.uk/media/5dea3w5v/ayr-port-plan.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:27	411954/411954	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:26%20GMT	https://www.abports.co.uk/media/nbbf50ag/abp-port-charges-ayr-and-troon-2022.pdf	D:/PSPLL/www.abports.co.uk/media/nbbf50ag/abp-port-charges-ayr-and-troon-2022.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:27	53038/53038	---M--	200	added ('OK')	application/pdf	date:Mon,%2031%20Oct%202022%2006:06:26%20GMT	https://www.abports.co.uk/media/0rqicekp/pilotage-fuel-surcharge-ayr-troon.pdf	D:/PSPLL/www.abports.co.uk/media/0rqicekp/pilotage-fuel-surcharge-ayr-troon.pdf	(from https://www.abports.co.uk/locations/ayr/)
12:06:27	476383/476383	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:25%20GMT	https://www.abports.co.uk/media/3vqiotr0/00-ayr.jpg	D:/PSPLL/www.abports.co.uk/media/3vqiotr0/00-ayr.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:28	5173/5173	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:26%20GMT	https://www.abports.co.uk/media/hrslrcyf/map_ayr.jpg	D:/PSPLL/www.abports.co.uk/media/hrslrcyf/map_ayr.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:28	114279/114279	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:27%20GMT	https://www.abports.co.uk/media/m4ec3www/4_20_9.jpg	D:/PSPLL/www.abports.co.uk/media/m4ec3www/4_20_9.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:28	84916/84916	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:27%20GMT	https://www.abports.co.uk/media/5pkikhff/4_20_1.jpg	D:/PSPLL/www.abports.co.uk/media/5pkikhff/4_20_1.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:29	72407/72407	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:27%20GMT	https://www.abports.co.uk/media/obejkamd/4_20_3.jpg	D:/PSPLL/www.abports.co.uk/media/obejkamd/4_20_3.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:29	64615/64615	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:28%20GMT	https://www.abports.co.uk/media/3j3l3imy/4_20_8.jpg	D:/PSPLL/www.abports.co.uk/media/3j3l3imy/4_20_8.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:29	62614/62614	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:28%20GMT	https://www.abports.co.uk/media/s2ifbojh/4_20_7.jpg	D:/PSPLL/www.abports.co.uk/media/s2ifbojh/4_20_7.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:30	105159/105159	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:28%20GMT	https://www.abports.co.uk/media/51khrnkk/4_20_10.jpg	D:/PSPLL/www.abports.co.uk/media/51khrnkk/4_20_10.jpg	(from https://www.abports.co.uk/locations/ayr/)
12:06:30	71598/71598	---M--	200	added ('OK')	image/jpeg	date:Mon,%2031%20Oct%202022%2006:06:29%20GMT	https://www.abports.co.uk/media/33eijqeo/4_20_14.jpg	D:/PSPLL/www.abports.co.uk/media/33eijqeo/4_20_14.jpg	(from https://www.abports.co.uk/locations/ayr/)
